Unnamed: 0,Código,Nome,Latitude,Longitude
,355730301A,Centro,-22.273017,-46.966627
,355640401A,Centro,-21.82982,-46.89509
,355635402A,Bairro dos Cardosos,-22.86,-46.373
,355635401A,SP036,-22.898,-46.38
,355620601A,Vila São Sebastião,-22.964,-47.003
,355495301A,Centro,-22.81457,-46.69565
,355480501A,ETA,-22.96296,-45.54883
,355240304A,Jardim Basilicata,-22.795,-47.279
,355240302A,Nova Veneza,-22.808,-47.223
,355240301A,Vila Miranda,-22.826,-47.277
,355210601A,ETA,-22.59743,-46.51566
,355200701A,Centro,-22.6714,-44.85211
,355160301A,EEAT ESTANCIA DA SERRA,-22.63337,-46.72753
,354960701A,Delegacia de Policia Civil,-22.647353,-44.575537
,354860901A,Centro,-22.689192,-45.733925
,354820301A,Centro,-22.83151,-45.66007
,354800501A,Jd. Vila Rica,-22.61,-46.926
,354580301A,Jardim Pantano,-22.75722,-47.36496
,354430101A,Delegacia de Policia,-22.89862,-45.30337
,354190101A,Centro,-22.53786,-44.77291
,354075401A,Policia Militar,-22.83238,-45.25754
,353850101A,Batalhão de Polícia,-22.612,-45.183
,353820401A,Centro,-22.785,-46.592
,353800601A,Policia Militar,-22.93113,-45.44793
,353710704A,Santa Clara,-22.74153,-46.9242
,353710703A,Vale Verde,-22.72616,-46.90086
,353710702A,Vila Santo Antonio,-22.743,-46.895
,353680201A,Centro,-22.791333,-46.440736
,353650501A,João Aranha,-22.736,-47.175
,353340301A,Centro,-22.773,-47.292
,353200901A,Centro,-22.872,-46.791
,353180304A,Jardim Paviotti,-22.912,-47.246
,353180303A,Parque Imperial,-22.952,-47.31
,353180301A,Santa Cruz,-22.905,-47.343
,353170401A,Centro,-22.9564,-45.8379
,353120901A,Centro,-22.68455,-46.67947
,353080501A,Jd. 31 de Março,-22.424585,-46.947802
,353070601A,Jd Novo II,-22.34456,-46.93068
,352720702A,Novo Horizonte,-22.751897,-45.092557
,352720701A,Policia Militar,-22.73998,-45.127201
,352700901A,Jardim Lindoia,-22.534,-46.651
,352690205A,Jardim Lagoa Nova,-22.611,-47.412
,352690204A,Campos Elíseos,-22.536,-47.394
,352690203A,Nossa Senhora das Dores,-22.56,-47.451
,352690202A,Centro,-22.572,-47.408
,352690201A,Distrito Tatu,-22.619,-47.365
,352670401A,Centro,-22.1875,-47.39004
,352660501A,Centro,-22.571,-44.902
,352550804A,Centro,-22.931,-46.272
,352550803A,Sabia Uma,-22.932,-46.169
,352550802A,Cancam,-22.93,-46.21
,352550801A,Cachoeira,-22.962,-46.176
,352470901A,Delegacia de Policia,-22.7036,-46.98556
,352340401A,Bairro da Ponte,-22.98472,-46.82669
,352260401A,Santa Cruz,-22.44152,-46.83129
,351907101A,Jardim Santa Esmeralda,-22.906,-47.191
,351905501A,Centro,-22.63395,-47.05556
,351840403A,Jardim Esperança,-22.7867,-45.1814
,351840402A,Parque Santa Luzia,-22.804,-45.228
,351840401A,Jardim São Benedito,-22.819,-45.187
,351518601A,Vila N.S. de Fatima,-22.19947,-46.73814
,351515201A,Vila São Pedro,-22.488,-47.213
,351340501A,Centro,-22.577,-44.958
,351280301A,Parque Ester,-22.63053,-47.19185
,351240701A,Centro,-22.48143,-47.45988
,351220901A,Centro,-22.3366,-47.17383
,350995701A,Centro,-22.7025,-45.05077
,350970013A,Capivari,-22.7439,-45.5549
,350970009A,Monte Carlo,-22.74833,-45.58384
,350970006A,Alto da Boa Vista,-22.726,-45.616
,350970005A,Jaguaribe,-22.731,-45.577
,350970004A,Bela Vista,-22.739586,-45.595992
,350970003A,Vila Cristina,-22.759247,-45.611953
,350970001A,Vila Abernessia,-22.742,-45.595
,350950208A,Jd das Bandeiras,-22.95334,-47.09081
,350950206A,Vila Aeroporto,-22.979,-47.133
,350950205A,Sousas,-22.878,-46.965
,350950204A,Satélite Iris I,-22.935702,-47.137816
,350950202A,Barão Geraldo,-22.831,-47.081
,350860301A,Sabesp,-22.66165,-45.00388
,350760505A,Água Comprida,-22.983,-46.464
,350760504A,Jardim Cedro,-22.923033,-46.535295
,350760503A,Jardim São Miguel,-22.947,-46.559
,350760502A,Jardim Júlio Mesquita,-22.94213,-46.53107
,350760501A,Jardim São José,-22.97483,-46.537577
,350490901A,Centro,-22.679,-44.317
,350380203A,Jardim Blumenau,-22.581,-47.18
,350380202A,Vista Alegre,-22.552,-47.167
,350380201A,Jardim Carolina III,-22.567,-47.154
,350350501A,Policia Civil,-22.57941,-44.69773
,350330701A,Vila D. Rosa Zurita,-22.374879,-47.386852
,350315801A,Centro,-22.6746,-44.44577
,350250704A,Ponte Alta,-22.839,-45.231
,350250703A,Itaguacu,-22.8681,-45.2603
,350250702A,São Roque,-22.8333,-45.2164
,350250701A,São Francisco,-22.86,-45.225
,350190503A,ETA Arcadas,-22.722,-46.838
,350190502A,Parque A. Batone,-22.659908,-46.753684
,350190501A,ETE,-22.704,-46.818
,350160801A,Vila Isabel,-22.73563,-47.31487
,350050102A,Alexandre Gatolini,-22.482,-46.593
,350050101A,Jardim São Francisco,-22.475,-46.628
,330630502A,Santa Cruz,-22.4639,-44.0942
,330630501A,Retiro,-22.5017,-44.1159
,330440904A,Lídice,-22.83523,-44.19387
,330440901A,Centro,-22.7224,-44.1424
,330420105A,Visconde de Mauá,-22.3308,-44.536
,330420102A,Cidade Alegria,-22.4812,-44.4926
,330411001A,Centro,-22.417791,-44.303464
,330400301A,Arrozal,-22.59642,-44.03474
,330395501A,Centro,-22.5187,-44.00191
,330260101A,Praia do Saco,-22.945,-44.038
,330225403A,Maromba,-22.3385,-44.6141
,330225401A,Centro,-22.4913,-44.5636
,330040706A,Vila Orlandélia,-22.53582,-44.16231
,330040705A,Vila Maria,-22.51362,-44.19784
,330010028A,Caputera,-22.987,-44.218
,330010020A,Itanema,-22.923,-44.359
,330010017A,Enseada,-22.987,-44.32
,330010016A,Sertão de Mambucaba,-22.951,-44.565
,330010015A,Pontal,-22.948,-44.329
,330010014A,Serra d`agua,-22.889,-44.278
,330010013A,Ariró,-22.902,-44.332
,330010011A,Praia da Chacara,-22.99993,-44.305
,330010007A,BNH,-22.992,-44.241
,330010005A,Parque do Belém,-22.9604,-44.29408
,330010004A,Areal,-22.982,-44.292
,330010003A,Bracuí,-22.933,-44.387
,330010002A,Camorim,-22.998,-44.264
,330010001A,Frade,-22.966,-44.44
,316930702A,Jardim Paraíso,-21.72686,-45.26287
,316930701A,Jardim América,-21.67047,-45.26846
,316880403A,Varzea de Baixo,-21.118,-44.17
,316880402A,Pacu,-21.109,-44.179
,316880401A,Parque das Abelhas,-21.107,-44.166
,316250005A,Tijuco,-21.095,-44.232
,316250004A,Senhor dos Montes,-21.13,-44.267
,316250003A,Fábricas,-21.111,-44.244
,316250002A,Tijuco2,-21.141,-44.275
,316250001A,Bonfim,-21.142,-44.257
,316230201A,Centro,-21.93452,-45.93269
,315960502A,Serra da Manuela,-22.19475,-45.58604
,315960501A,Vista Alegre,-22.25706,-45.70048
,315250105A,Faisqueira,-22.21,-45.906
,315250104A,Santo Antônio,-22.225,-45.937
,315250103A,Cidade Jardim,-22.236,-45.865
,315250102A,Morro do Cristo,-22.2218,-45.9839
,315250101A,Aeoroporto,-22.288,-45.92
,315180001A,Parque Véu das Noivas,-21.777419,-46.619238
,314990301A,Lourdes,-21.10031,-45.08467
,314790701A,Exposição,-20.7347,-46.60611
,314780801A,Tebas,-22.2106,-44.23762
,314040701A,Centro,-22.45028,-45.16628
,313780901A,Centro,-21.97453,-45.34852
,313360004A,COPASA,-22.762,-46.225
,313360003A,Tropical Flores,-22.657,-46.228
,313360002A,Córrego dos Negros,-22.68,-46.205
,313360001A,Distrito de Areias,-22.706,-46.196
,313350101A,Centro,-20.4728,-45.12186
,313300601A,Centro,-22.28407,-44.86765
,313240402A,São Vicente,-22.43051,-45.45631
,313240401A,Estiva,-22.412335,-45.435862
,312980606A,Serra Dourada,-20.004,-44.07
,312980605A,Marilândia,-20.001,-44.047
,312980604A,Novo Horizonte,-20.038,-44.064
,312870901A,Centro,-21.309761,-46.716297
,312510107A,extrema07,-22.793,-46.333
,312510106A,Estrada das Posses,-22.867,-46.244
,312510105A,Forjos,-22.863,-46.284
,312510103A,PSF Furnas,-22.772,-46.322
,312510101A,extrema01,-22.853,-46.214
,312300701A,Paloma,-21.108,-44.037
,312110001A,Itagyba,-22.50997,-45.28478
,311450101A,Centro,-20.54264,-44.64601
,311410501A,Centro,-22.1204,-45.13472
,311360201A,Novo Horizonte,-22.041069,-45.695013
,311050910A,Cruzeiro,-22.76,-46.156
,311050909A,Fernão Dias km910,-22.694,-46.113
,311050908A,Santa Terezinha,-22.858,-46.163
,311050906A,camanducaia06,-22.794,-46.003
,311050902A,Av. Targino Vargas,-22.74,-46.132
,311050901A,São Mateus,-22.70473,-46.03481
,310900610A,Cohab,-20.140138,-44.223331
,310900609A,Inhotim,-20.12,-44.227
,310900608A,Aranha,-20.196,-44.105
,310900607A,Centro - Rodoviária,-20.142,-44.198
,310900606A,Alberto Flores,-20.156,-44.147
,310900605A,Córrego Feijão,-20.135,-44.107
,310900604A,Rua Prefeito Maciel,-20.165,-44.023
,310900603A,Distrito Casa Branca,-20.09456,-44.04756
,310900601A,Centro,-20.143,-44.2
,310710902A,Jardim Alvorada,-21.089953,-45.575697
,310710901A,Centro,-21.09254,-45.56297
,310670513A,Casa Amarela,-20.013,-44.222
,310670510A,Citrolândia,-20.029886,-44.228384
